lancer;H (m);Rw;Rr;Bl;Tl;Tw;debut;fin;debut(sec);debut(cent);fin(sec);fin(cent);chute (nb images);chute (sec)
1;2,5;3,5;5,5;3,5;2,5;5;24,23;26,01;25;0,23;26;0,01;98;1,633333333
2;2,5;3,5;5,5;3,5;2,5;5;33,04;34,4;34;0,04;34;0,4;96;1,6
3;2,5;3,5;5,5;3,5;2,5;5;40,42;42,16;41;0,42;42;0,16;94;1,566666667
4;2,5;3,5;5,5;3,5;2,5;5;49,28;53,03;50;0,28;53;0,03;215;3,583333333
5;2,5;3,5;5,5;3,5;2,5;5;0,38;2,14;1;0,38;2;0,14;96;1,6
6;2,5;3,5;5,5;3,5;2,5;5;8,4;10,18;9;0,4;10;0,18;98;1,633333333
7;2,5;3,5;5,5;3,5;2,5;5;16,56;18,31;17;0,56;18;0,31;95;1,583333333
8;2,5;3,5;5,5;3,5;2,5;5;26,18;28;27;0,18;28;0;102;1,7
9;2,5;3,5;5,5;3,5;2,5;5;33,5;35,3;34;0,5;35;0,3;100;1,666666667
10;2,5;3,5;5,5;3,5;2,5;5;41,19;42,56;42;0,19;42;0,56;97;1,616666667
11;2;3,5;5,5;3,5;2,5;5;1,34;2,51;2;0,34;2;0,51;77;1,283333333
12;2;3,5;5,5;3,5;2,5;5;9,4;10,57;10;0,4;10;0,57;77;1,283333333
13;2;3,5;5,5;3,5;2,5;5;17,32;18,51;18;0,32;18;0,51;79;1,316666667
14;2;3,5;5,5;3,5;2,5;5;29,11;30,28;30;0,11;30;0,28;77;1,283333333
15;2;3,5;5,5;3,5;2,5;5;36,38;37,56;37;0,38;37;0,56;78;1,3
16;2;3,5;5,5;3,5;2,5;5;43,42;45,01;44;0,42;45;0,01;79;1,316666667
17;2;3,5;5,5;3,5;2,5;5;50,19;51,4;51;0,19;51;0,4;81;1,35
18;2;3,5;5,5;3,5;2,5;5;57,43;59;58;0,43;59;0;77;1,283333333
19;2;3,5;5,5;3,5;2,5;5;4,36;5,56;5;0,36;5;0,56;80;1,333333333
20;2;3,5;5,5;3,5;2,5;5;11,17;12,34;12;0,17;12;0,34;77;1,283333333
21;3;5;5;5;5;5;50,33;52,24;51;0,33;52;0,24;111;1,85
22;3;5;5;5;5;5;59,57;61,57;60;0,57;61;0,57;120;2
23;3;5;5;5;5;5;7,2;9,15;8;0,2;9;0,15;115;1,916666667
24;3;5;5;5;5;5;17,08;19,03;18;0,08;19;0,03;115;1,916666667
25;3;5;5;5;5;5;27,44;29,44;28;0,44;29;0,44;120;2
26;3;5;5;5;5;5;35,37;37,3;36;0,37;37;0,3;113;1,883333333
27;3;5;5;5;5;5;42,39;44,36;43;0,39;44;0,36;117;1,95
28;3;5;5;5;5;5;49,48;51,43;50;0,48;51;0,43;115;1,916666667
29;3;5;5;5;5;5;0,29;2,25;1;0,29;2;0,25;116;1,933333333
30;3;5;5;5;5;5;10,26;12,21;11;0,26;12;0,21;115;1,916666667
32;2,5;5;5;5;5;5;16,16;17,46;17;0,16;17;0,46;90;1,5
33;2,5;5;5;5;5;5;24,35;26,1;25;0,35;26;0,1;95;1,583333333
34;2,5;5;5;5;5;5;34,28;36,08;35;0,28;36;0,08;100;1,666666667
35;2,5;5;5;5;5;5;43,46;45,26;44;0,46;45;0,26;100;1,666666667
36;2,5;5;5;5;5;5;51,54;53,31;52;0,54;53;0,31;97;1,616666667
37;2,5;5;5;5;5;5;0,49;2,26;1;0,49;2;0,26;97;1,616666667
38;2,5;5;5;5;5;5;8,42;10,22;9;0,42;10;0,22;100;1,666666667
39;2,5;5;5;5;5;5;16,3;18,06;17;0,3;18;0,06;96;1,6
40;2,5;5;5;5;5;5;24,05;25,4;25;0,05;25;0,4;95;1,583333333
41;2,5;5;5;5;5;5;31,3;33,04;32;0,3;33;0,04;94;1,566666667
